ip,port,protocol,q_ui_c_handshake_duration,q_ui_c_negotiated_protocol,q_ui_c_used0_rtt,q_ui_c_error,http_version,query_time,total_time,r_code,response_ip,response_ttl,error,vp
108.137.35.4,784,quic,58670970,doq-i03,0,,,16181740,74890928,0,67.225.146.248,2639,,singapore
108.137.35.4,784,quic,18107406,doq-i03,0,,,15120086,33263509,0,67.225.146.248,2637,,singapore
85.214.195.112,784,quic,602005520,doq-i03,0,,,298552357,900594882,0,0.0.0.0,10,,singapore
108.137.35.4,853,quic,58502943,doq-i03,0,,,15058722,73601038,0,67.225.146.248,2632,,singapore
85.214.195.112,784,quic,660106,doq-i03,1,,,298842015,598957000,0,0.0.0.0,10,,singapore
108.137.35.4,853,quic,18277481,doq-i03,0,,,14873074,33210162,0,67.225.146.248,2630,,singapore
20.212.115.110,8853,quic,7979575,doq-i03,0,,,1684320,9726155,0,67.225.146.248,3584,,singapore
20.212.115.110,8853,quic,3890019,doq-i03,0,,,1641784,5614143,0,67.225.146.248,3583,,singapore
188.72.209.168,784,quic,341235280,doq-i03,0,,,168525902,509799997,0,67.225.146.248,1485,,singapore
188.72.209.168,784,quic,171671088,doq-i03,0,,,167587207,339294538,0,67.225.146.248,1483,,singapore
193.123.252.172,784,quic,162710138,doq-i03,0,,,79128256,241914383,0,67.225.146.248,3044,,singapore
193.123.252.172,784,quic,1084556,doq-i03,1,,,78824901,159985452,0,67.225.146.248,3042,,singapore
23.94.56.244,784,quic,573126848,doq-i02,0,,,188203698,761394698,0,0.0.0.0,10,,singapore
23.94.56.244,784,quic,190564076,doq-i02,0,,,188870785,379473549,0,0.0.0.0,10,,singapore
62.109.2.197,784,quic,393215123,doq-i03,0,,,194666890,587930998,0,0.0.0.0,10,,singapore
62.109.2.197,784,quic,803708,doq-i03,1,,,193590215,390150553,0,0.0.0.0,10,,singapore
5.181.48.19,784,quic,351687489,doq-i03,0,,,173067039,524792188,0,67.225.146.248,3260,,singapore
5.181.48.19,784,quic,848357,doq-i03,1,,,172754768,348109574,0,67.225.146.248,3258,,singapore
45.129.2.32,784,quic,808899882,doq-i02,0,,,202431189,1011369663,0,67.225.146.248,3256,,singapore
45.129.2.32,784,quic,205654653,doq-i02,0,,,202334143,408025293,0,67.225.146.248,3254,,singapore
